mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: 3x3Dh-WPZqRVT|5-2) should print 10 examples: Df5Ut7wsumyqK|6-3) should print 10 examples: BKo5mmIx_fIp3|7-4) should print 10 examples: G7d4QFBRXH41S|8-5) should print 10 examples: FO1EoSZZjBM3c|9-6) should print 10 examples: 7U_uOXRl5eK-N|10-7) should print 10 examples: 0ADMsxX3Es8KG|11-8) should print 10 examples: alde56q579tsB|12-9) should print 10 examples: 4toY61MDXJwFY|13-10) should print 10 examples: aMMMaja8pG7TH|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (133ms)
MUTANT 312|10680ms|0|0|0|0|0|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 315|4597ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 316|4537ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 317|4560ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 318|4517ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 319|4496ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 320|4485ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 321|4472ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 322|4542ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 323|4551ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 324|4599ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 325|4600ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 326|4637ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 327|4706ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 329|4611ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 330|4718ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 331|4696ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 333|1250ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 334|1300ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 332|4362ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 328|10977ms|0|0|0|0|0|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 335|4305ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 336|4605ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 337|4592ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 338|4635ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 339|3221ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 340|2701ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 341|3469ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 343|3536ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 342|3618ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 344|4350ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 345|4362ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 347|4418ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 346|4968ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 351|1311ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 349|4516ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 348|4539ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 350|4739ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 354|1508ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 355|1460ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 352|4632ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 353|3635ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 356|2714ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
