mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: 3x3Dh-WPZqRVT|5-2) should print 10 examples: Df5Ut7wsumyqK|6-3) should print 10 examples: BKo5mmIx_fIp3|7-4) should print 10 examples: G7d4QFBRXH41S|8-5) should print 10 examples: FO1EoSZZjBM3c|9-6) should print 10 examples: 7U_uOXRl5eK-N|10-7) should print 10 examples: 0ADMsxX3Es8KG|11-8) should print 10 examples: alde56q579tsB|12-9) should print 10 examples: 4toY61MDXJwFY|13-10) should print 10 examples: aMMMaja8pG7TH|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (133ms)
MUTANT 140|2606ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 139|3274ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 138|5167ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 141|4606ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 143|4461ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 142|5216ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 144|4454ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 145|4776ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 148|3494ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 146|4549ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 147|4529ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 151|1333ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 152|1377ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 149|3751ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 150|3772ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 158|1422ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 160|1299ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 159|1362ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 162|1217ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 163|1214ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 164|1213ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 165|1229ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 161|4692ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 167|1244ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 166|1274ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 168|3747ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 170|3547ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 169|3597ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 173|3802ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 171|4355ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 172|4377ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 175|1204ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 174|2634ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 176|2530ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 177|4500ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 179|4637ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 180|5523ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 183|4042ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 182|5228ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 184|2741ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 186|4658ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 189|4567ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 191|2807ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 190|4731ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 194|2419ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 193|4311ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 195|1798ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 192|5712ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 196|1776ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 197|1684ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 198|1532ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
