mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: ByMj3aXYt|5-2) should print 10 examples: B1xfi2aXtY|6-3) should print 10 examples: By-fsnpQFt|7-4) should print 10 examples: rkGzjhp7Ft|8-5) should print 10 examples: ByXzinp7FK|9-6) should print 10 examples: r14zs2aQtt|10-7) should print 10 examples: HJHzi367Yt|11-8) should print 10 examples: S1IMo2p7Kt|12-9) should print 10 examples: SkDMo2pXYK|13-10) should print 10 examples: HkdGina7tF|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (155ms)|17-should decode worker
MUTANT 96|1603ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 95|1790ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 97|1806ms|1|1|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 98|1590ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 99|1456ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 100|1515ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 101|1506ms|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
MUTANT 102|1424ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 103|1922ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 104|2006ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 105|1924ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 106|1939ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 107|2015ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 108|1984ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 109|2000ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 110|1965ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 111|2099ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 112|2037ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 113|1977ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 114|1935ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 115|1774ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 116|1736ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 117|1399ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 119|1782ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 121|1872ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 118|1903ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 120|1976ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 125|1655ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|0|0
MUTANT 124|1883ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 122|2003ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 123|1925ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 126|1877ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 127|1776ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 129|1838ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 128|1870ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 130|1904ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 131|1893ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 132|1890ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 133|1903ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 137|1747ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1
