mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: ry2uoTmtF|5-2) should print 10 examples: Hyl2Oo6XFK|6-3) should print 10 examples: r1WhOoaXtK|7-4) should print 10 examples: Syf2djpQYK|8-5) should print 10 examples: BJQndsaQKt|9-6) should print 10 examples: H1Endo6XFt|10-7) should print 10 examples: rkS3do6QYF|11-8) should print 10 examples: BJLndoTQFK|12-9) should print 10 examples: ryw3_jpXYY|13-10) should print 10 examples: SJO3OiTXFY|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (160ms)|17-should decode worker
MUTANT 305|2019ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 307|2041ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 308|2092ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 309|1914ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 310|1902ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1
MUTANT 311|1937ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 312|1957ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 314|1879ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 313|1950ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 315|1942ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 316|1933ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 317|1925ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 318|1879ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 319|1990ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 320|1936ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 322|1379ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 321|1916ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 324|1896ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 323|2075ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 325|1429ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 326|2183ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 327|2263ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 328|2323ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 329|2454ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 330|2133ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1
MUTANT 331|1989ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 332|1887ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 333|1629ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1
MUTANT 336|1893ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 334|1924ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 335|1929ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 337|1990ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 340|1884ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 339|1912ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 338|1985ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
