mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: FrKbkIGrdbNCx|5-2) should print 10 examples: cZmMrTA4m6_x-|6-3) should print 10 examples: wEVNUFzvTYzki|7-4) should print 10 examples: shssIMR0F9zQh|8-5) should print 10 examples: p-dylfAo_BW3-|9-6) should print 10 examples: n2LvdS61jzwYm|10-7) should print 10 examples: NwwL_26A82p28|11-8) should print 10 examples: UQR3nfKTvKwu5|12-9) should print 10 examples: VnYSR2RtjtCsR|13-10) should print 10 examples: WFtQi0bwgC-rv|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (132ms)
MUTANT 287|4478ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 286|4496ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 288|4527ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 289|4481ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 290|4472ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 291|4505ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 292|4555ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 293|4441ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 294|4518ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 295|4523ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 296|4594ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 297|4528ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 298|4442ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 299|4544ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 300|4472ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 302|4531ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 301|4597ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 303|4665ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 304|4588ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 305|3759ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 306|3817ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 307|3697ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 308|667ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 310|4393ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 311|4483ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 313|4622ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 314|4697ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 312|10916ms|0|0|0|0|0|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 315|4781ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 316|4758ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 317|4664ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 318|4542ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 319|4556ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 320|4514ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 321|4568ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 322|4556ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 323|4611ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 324|4546ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 325|4728ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 326|4626ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 327|4603ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 329|4469ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 330|4646ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 331|4637ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 333|1289ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 334|1345ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 332|4332ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 328|11123ms|0|0|0|0|0|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 335|4377ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 336|4681ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 337|4651ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 338|4609ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 339|3128ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 340|2698ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 343|3371ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 342|3408ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 341|3456ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 347|4455ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 344|4529ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 345|4534ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 346|5141ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 351|1259ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 349|4499ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 348|4571ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 350|4581ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 354|1339ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 355|1343ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 352|4515ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 353|3517ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 356|2725ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
