mutant-id|timeToExecute|0-sha1 node|1-sha1 browser|2-v5|3-uuids with current time|4-uuids with time option|5-msec|6-exception thrown when > 10k ids created in 1ms|7-clock regression by msec|8-clock regression by nsec|9-explicit options product expected id|10-ids spanning 1ms boundary are 100ns apart
MUTANT 125|1317ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 126|1310ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 127|1453ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 129|1330ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 128|1620ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 131|1423ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 130|1724ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 132|1471ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 133|1474ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 134|1325ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 135|1311ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 137|1233ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 136|1285ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 138|939ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 141|1231ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 140|1245ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 142|1290ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 139|1423ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 145|1271ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 144|1337ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 143|1379ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 146|1316ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 147|841ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 150|1209ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 148|1242ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 149|1269ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 151|1304ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 152|1247ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 153|1266ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 154|1243ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 158|1322ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 162|1391ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 163|1296ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 165|1522ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 164|1907ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 166|1506ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 167|1349ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 168|1384ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 169|1326ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 170|1391ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 171|1385ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 172|1380ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 173|1536ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 174|1563ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 176|1491ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 175|1552ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 177|1543ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 178|1557ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 179|1491ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 180|1593ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 181|1630ms|1|1|1|1|1|1|1|1|1|1|1
MUTANT 183|1493ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 182|1546ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 184|1561ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 185|1412ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 186|1413ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 187|1454ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 188|1429ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 189|1430ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 191|1342ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 190|1419ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 192|1418ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 193|1491ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 195|1495ms|1|0|1|1|1|1|1|1|1|1|1
