mutant-id|timeToExecute|0-passes a basic sanity check|1-allows namespaces to be a non-string value|2-honors global debug namespace enable calls|3-uses custom log function|4-should extend namespace|5-should extend namespace with custom delimiter|6-should extend namespace with empty delimiter
MUTANT 242|1293ms|1|1|1|1|1|1|1
MUTANT 243|1331ms|1|1|1|1|1|1|1
MUTANT 241|1414ms|1|1|1|1|1|1|1
MUTANT 244|1352ms|1|1|1|1|1|1|1
MUTANT 245|1394ms|1|1|1|1|1|1|1
MUTANT 246|1351ms|1|1|1|1|1|1|1
MUTANT 247|1400ms|1|1|1|1|1|1|1
MUTANT 248|1340ms|1|1|1|1|1|1|1
MUTANT 250|1339ms|1|1|1|1|1|1|1
MUTANT 249|1427ms|1|1|1|1|1|1|1
MUTANT 251|1389ms|1|1|1|1|1|1|1
MUTANT 252|1386ms|1|1|1|1|1|1|1
MUTANT 253|1393ms|1|1|1|1|1|1|1
MUTANT 254|1389ms|1|1|1|1|1|1|1
MUTANT 255|1410ms|1|1|1|1|1|1|1
MUTANT 256|1384ms|1|1|1|1|1|1|1
MUTANT 257|1396ms|1|1|1|1|1|1|1
MUTANT 258|1388ms|1|1|1|1|1|1|1
MUTANT 259|1362ms|1|1|1|1|1|1|1
MUTANT 260|1368ms|1|1|1|1|1|1|1
MUTANT 261|1356ms|1|1|1|1|1|1|1
MUTANT 262|1404ms|1|1|1|1|1|1|1
MUTANT 263|1422ms|1|1|1|1|1|1|1
MUTANT 264|1388ms|1|1|1|1|1|1|1
MUTANT 265|1414ms|1|1|1|1|1|1|1
MUTANT 266|1362ms|1|1|1|1|1|1|1
MUTANT 267|1419ms|1|1|1|1|1|1|1
MUTANT 268|1424ms|1|1|1|1|1|1|1
MUTANT 269|1378ms|1|1|1|1|1|1|1
MUTANT 270|1385ms|1|1|1|1|1|1|1
MUTANT 271|1399ms|1|1|1|1|1|1|1
MUTANT 272|1400ms|1|1|1|1|1|1|1
MUTANT 274|1330ms|1|1|1|1|1|1|1
MUTANT 273|1441ms|1|1|1|1|1|1|1
MUTANT 275|1402ms|1|1|1|1|1|1|1
MUTANT 276|1453ms|1|1|1|1|1|1|1
MUTANT 278|1410ms|1|1|1|1|1|1|1
